frequency	korean	pos	hanja	hint	go_level	topik_level
	-가13	접사		전문가		중급
1195	가게	명사		~에 가다	A	초급
898	가격03	명사	價格	~이 비싸다	B	초급
2986	가구03	명사	家口		C	
7434	가구04	명사	家具	책상	B	초급
4964	가까워지다	동사			B	
3560	가까이	명사			B	
1695	가까이	부사/명사		가까이 다가오다	B	중급
648	가깝다	형용사		거리가	A	초급
1747	가꾸다	동사		나무를 가꾸다	B	중급
852	가끔	부사		가끔 보다	A	초급
5071	가난01	명사		~에 찌들다	C	중급
1716	가난하다	형용사			B	
2757	가늘다	형용사		손가락이	B	초급
6942	가능	명사	可能	주차 가능	C	중급
483	가능성	명사	可能性	~이 높다	B	중급
501	가능하다	형용사	可能-		B	
6003	가능해지다	동사	可能-		C	
25	가다01	동사		학교에 ~	A	초급
150	가다01	보조 용언			A	
1196	가득01	부사		~ 차다	B	초급
3561	가득하다01	형용사		물이 ~	B	중급
7971	가득히	부사		물을 가득히 따르다	C	중급
3173	가라앉다	동사		먼지가 ~	C	중급
	-가량06	접사		한 시간가량		중급
6170	가려지다	동사			C	
	가렵다	형용사		몸이 ~		중급
1956	가령05	부사	假令		C	
9014	가로01	명사/부사		~와 세로	B	중급
5311	가로등	명사	街路燈	~이 켜지다	C	중급
4576	가로막다	동사		길을 ~	C	중급
8286	가로수	명사	街路樹		C	
2789	가루01	명사		분필 ~	B	중급
4177	가르다	동사		칼로 ~	C	중급
698	가르치다01	동사		한국어를 ~	A	초급
2884	가르침	명사			C	
2913	가리다02	동사		시야를 ~	B	중급
2305	가리다03	동사		시비를 ~	B	중급
1367	가리키다01	동사		손가락으로 ~	B	초급
9888	가만	부사		가만 놔두다	C	중급
7158	가만있다	동사		잠자코 가만있다	C	중급
1706	가만히	부사		가만히 두다	B	중급
4755	가뭄	명사		~이 들다	C	중급
1530	가방01	명사		~을 메다	A	초급
1189	가볍다	형용사		짐이 ~	A	초급
4483	가사09	명사	歌詞	노래 가사	C	중급
3784	가상05	명사	假想		C	
2000	가수11	명사	歌手	직업	A	초급
2053	가스	명사		gas	B	중급
	가스레인지	명사		~를 켜다		중급
384	가슴01	명사		신체	A	초급
3904	가슴속	명사			B	
	가습기	명사		~를 켜다		중급
6526	가요02	명사	歌謠	~를 부르다	B	초급
264	가운데	명사		가운데 자리	A	초급
6172	가위01	명사		기구	B	초급
1268	가을01	명사		계절	A	초급
5167	가이드	명사		guide	B	
4397	가입	명사	加入	~을 권유하다	C	중급
4484	가입자	명사	加入者	~를 모집하다	C	중급
5168	가입하다	동사	加入-		C	
127	가장01	부사		가장 빠르다	A	초급
3454	가장07	명사	家長	집안의 가장	C	중급
	가전제품	명사		~을 구입하다		중급
715	가정06	명사	家庭	~을 이루다	B	중급
4398	가정07	명사	假定	~을 해 보다	C	중급
6349	가정교사	명사	家庭敎師		C	
	가정주부	명사		~로 살다		중급
3512	가져가다	동사		집에 ~	B	초급
5704	가져다주다	동사		물건을 ~	B	중급
1060	가져오다	동사		학교로 ~	A	초급
409	가족01	명사	家族	식구	A	초급
5072	가죽01	명사		가죽 잠바	B	중급
2124	가지01	명사		~를 치다	B	중급
129	가지04	의존명사		한 ~	B	초급
94	가지다	동사		돈을 ~	A	초급
514	가지다	보조 용언			A	
4668	가짜	명사	假-	~로 꾸미다	B	중급
550	가치06	명사	價値	~가 높다	C	중급
3063	가치관	명사	價値觀	~이 바뀌다	C	중급
8645	가톨릭	명사		Catholic	C	중급
3099	가하다01	동사	加-		C	
422	각01	관형사	各	각 개인	B	중급
4178	각각01	명사	各各		B	
751	각각01	부사/명사	各各	각각 다르다	B	초급
2885	각국	명사	各國	아시아 각국	B	중급
3213	각기02	부사	各其		C	
5706	각오01	명사	覺悟	~를 다지다	C	중급
3785	각자02	명사/부사	各自	각자가 맡다	B	중급
3562	각자02	부사	各自		B	
815	각종	명사	各種	각종 과일	B	중급
3905	간01	명사		음식의 ~을 보다	C	중급
3620	간08	명사	肝	신체	C	중급
335	간10	의존명사	間	서울과 부산 ~	B	중급
	-간16	접사		이틀간		중급
4179	간격02	명사	間隔	~을 넓히다	C	중급
1336	간단하다02	형용사	簡單-	간단한 설명	B	초급
2987	간단히	부사	簡單-	간단히 끝내다	B	초급
2187	간부05	명사	幹部		C	
4577	간섭	명사	干涉	~을 받다	C	중급
8290	간식02	명사	間食	~을 먹다	B	초급
4034	간신히	부사	艱辛-	간신히 살아나다	C	중급
3100	간장01	명사	-醬	~을 넣다	B	초급
	간절하다	형용사		간절한 기도		중급
4756	간접	명사	間接		C	
	간접적	관형사/명사		간접적 영향		중급
6735	간접적	명사	間接的		C	
	간지럽다	형용사		눈이 ~		중급
3906	간판02	명사	看板	~을 걸다	C	중급
7160	간편하다	형용사	簡便-	사용이 ~	C	중급
7977	간호	명사	看護	~를 받다	C	중급
7438	간호사	명사	看護師	~로 일하다	A	초급
3786	간혹	부사/명사	間或	간혹 생기다	C	중급
3621	갇히다	동사		감옥에 ~	C	중급
6736	갈다01	동사		바꾸다	B	중급
2401	갈다02	동사		문지르다	B	
1010	갈등	명사	葛藤	~이 심하다	C	중급
	갈라지다01	동사		벽이 ~		중급
12246	갈비01	명사		~를 먹다	A	초급
38470	갈비탕	명사	-湯	~을 먹다	B	초급
3342	갈색	명사	褐色	색깔	B	초급
3723	갈수록	부사		갈수록 더하다	C	중급
4035	갈아입다	동사		옷을 ~	B	초급
9018	갈아타다	동사		기차를 ~	B	초급
4578	갈증	명사	渴症	~이 나다	C	중급
8293	감01	명사		과일	B	초급
5312	감12	명사	感		C	
	-감19	접사		책임감		중급
1240	감각02	명사	感覺	~이 없다	C	중급
3343	감기04	명사	感氣	~에 걸리다	A	초급
	감기약	명사		~을 먹다		초급
2125	감다01	동사		눈을 ~	B	초급
	감다02	동사		머리를 ~		초급
4036	감다03	동사		실을 ~	C	중급
	감독	명사		~을 강화하다		중급
671	감독02	명사	監督		C	
2432	감동02	명사	感動	~을 받다	B	중급
	감동적	관형사/명사		감동적 이야기		중급
7161	감동적	명사	感動的		C	
6352	감사08	명사	感謝	감사 인사	A	초급
4966	감사하다05	동사	感謝-		A	
3847	감사하다05	형용사	感謝-		A	
6530	감상05	명사	鑑賞	음악 감상	B	중급
	감상문	명사		독서 감상문		중급
4321	감상하다04	동사	鑑賞-		B	
5170	감소01	명사	減少	인구 감소	C	중급
9431	감소되다	동사	減少-		C	
4485	감소하다	동사	減少-		C	
5445	감수성02	명사	感受性		C	
	감시02	명사		~를 당하다		중급
3174	감싸다	동사		얼굴을 ~	C	중급
3385	감옥02	명사	監獄	~에 가두다	C	중급
3513	감자01	명사		채소	B	초급
846	감정06	명사	感情	~이 풍부하다	B	중급
9892	감정적01	명사	感情的		C	
