rank	word	part_of_speech	hanja	explanation	nikl_level	topik_level
	-가13	접사		전문가	중급	
1195	가게	명사		에 가다	초급	A
898	가격03	명사	價格	이 비싸다	초급	B
2986	가구03	명사	家口			C
7434	가구04	명사	家具	책상	초급	B
4964	가까워지다	동사				B
3560	가까이	명사		가까이 다가오다	중급	B
1695	가까이	부사		가까이 다가오다	중급	B
648	가깝다	형용사		거리가	초급	A
1747	가꾸다	동사		나무를 가꾸다	중급	B
852	가끔	부사		가끔 보다	초급	A
5071	가난01	명사		에 찌들다	중급	C
1716	가난하다	형용사				B
2757	가늘다	형용사		손가락이	초급	B
6942	가능	명사	可能	주차 가능	중급	C
483	가능성	명사	可能性	이 높다	중급	B
501	가능하다	형용사	可能-			B
6003	가능해지다	동사	可能-			C
25	가다01	동사		학교에	초급	A
150	가다01	보조 용언				A
1196	가득01	부사		가득 담다; ~ 차다	초급	B
3561	가득하다01	형용사		물이	중급	B
7971	가득히	부사		물을 가득히 따르다	중급	C
3173	가라앉다	동사		먼지가	중급	C
	-가량06	접사		한 시간가량	중급	
6170	가려지다	동사				C
	가렵다	형용사		몸이	중급	
1956	가령05	부사	假令			C
9014	가로01	명사		~와 세로	중급	B
	가로01	부사		세로	중급	
5311	가로등	명사	街路燈	이 켜지다	중급	C
4576	가로막다	동사		길을	중급	C
8286	가로수	명사	街路樹			C
2789	가루01	명사		분필 ~; 로 만들다	중급	B
4177	가르다	동사		칼로	중급	C
698	가르치다01	동사		한국어를	초급	A
2884	가르침	명사				C
2913	가리다02	동사		얼굴을; 시야를 ~	중급	B
2305	가리다03	동사		시비를 ~	중급	B
1367	가리키다01	동사		손가락으로	초급	B
9888	가만	부사		가만 놔두다	중급	C
7158	가만있다	동사		잠자코 가만있다	중급	C
1706	가만히	부사		가만히 두다	중급	B
4755	가뭄	명사		이 들다	중급	C
1530	가방01	명사		~을 메다	초급	A
1189	가볍다	형용사		짐이	초급	A
4483	가사09	명사	歌詞	노래 가사	중급	C
3784	가상05	명사	假想			C
2000	가수11	명사	歌手	직업	초급	A
2053	가스	명사		가스가 떨어지다; gas	중급	B
	가스레인지	명사		를 켜다	중급	
384	가슴01	명사		신체	초급	A
3904	가슴속	명사				B
	가습기	명사		를 켜다	중급	
6526	가요02	명사	歌謠	를 부르다	초급	B
264	가운데	명사		가운데 자리	초급	A
6172	가위01	명사		기구; 로 자르다	초급	B
1268	가을01	명사		계절	초급	A
5167	가이드	명사		guide		B
4397	가입	명사	加入	을 권유하다	중급	C
4484	가입자	명사	加入者	를 모집하다	중급	C
5168	가입하다	동사	加入-			C
127	가장01	부사		가장 빠르다	초급	A
3454	가장07	명사	家長	집안의 가장	중급	C
	가전제품	명사		을 구입하다	중급	
715	가정06	명사	家庭	을 이루다	중급	B
4398	가정07	명사	假定	을 해 보다	중급	C
6349	가정교사	명사	家庭敎師			C
	가정주부	명사		로 살다	중급	
3512	가져가다	동사		집에	초급	B
5704	가져다주다	동사		물건을	중급	B
1060	가져오다	동사		학교로	초급	A
409	가족01	명사	家族	식구	초급	A
5072	가죽01	명사		가죽 잠바	중급	B
2124	가지01	명사		~를 치다; 를 꺾다	중급	B
129	가지04	의존명사		몇; 한 ~	초급	B
94	가지다	동사		돈을	초급	A
514	가지다	보조 용언				A
4668	가짜	명사	假-	로 꾸미다	중급	B
550	가치06	명사	價値	가 높다	중급	C
3063	가치관	명사	價値觀	이 바뀌다	중급	C
8645	가톨릭	명사		Catholic; 을 믿다	중급	C
3099	가하다01	동사	加-			C
422	각01	관형사	各	각 개인	중급	B
4178	각각01	명사	各各	각각 다르다	초급	B
751	각각01	부사	各各	각각 다르다	초급	B
2885	각국	명사	各國	아시아 각국	중급	B
3213	각기02	부사	各其			C
5706	각오01	명사	覺悟	를 다지다	중급	C
3785	각자02	명사	各自	각자가 맡다	중급	B
3562	각자02	부사	各自	각자가 맡다	중급	B
815	각종	명사	各種	각종 과일	중급	B
	-간16	접사		이틀간	중급	
3905	간01	명사		음식의 ~을 보다	중급	C
3620	간08	명사	肝	신체	중급	C
335	간10	의존명사	間	서울과 부산 간; 서울과 부산 ~	중급	B
4179	간격02	명사	間隔	을 넓히다	중급	C
1336	간단하다02	형용사	簡單-	간단한 설명	초급	B
2987	간단히	부사	簡單-	간단히 끝내다	초급	B
2187	간부05	명사	幹部			C
4577	간섭	명사	干涉	을 받다	중급	C
8290	간식02	명사	間食	을 먹다	초급	B
4034	간신히	부사	艱辛-	간신히 살아나다	중급	C
3100	간장01	명사	-醬	을 넣다	초급	B
	간절하다	형용사		간절한 기도	중급	
4756	간접	명사	間接			C
	간접적	관형사		간접적 영향	중급	
6735	간접적	명사	間接的	간접적 영향	중급	C
	간지럽다	형용사		눈이	중급	
3906	간판02	명사	看板	을 걸다	중급	C
7160	간편하다	형용사	簡便-	사용이	중급	C
7977	간호	명사	看護	를 받다	중급	C
7438	간호사	명사	看護師	로 일하다	초급	A
	간혹	명사		간혹 생기다	중급	
3786	간혹	부사	間或	간혹 생기다	중급	C
3621	갇히다	동사		감옥에	중급	C
6736	갈다01	동사		붕대를; 바꾸다	중급	B
2401	갈다02	동사		문지르다		B
1010	갈등	명사	葛藤	이 심하다	중급	C
	갈라지다01	동사		벽이	중급	
12246	갈비01	명사		를 먹다	초급	A
38470	갈비탕	명사	-湯	을 먹다	초급	B
3342	갈색	명사	褐色	색깔	초급	B
3723	갈수록	부사		갈수록 더하다	중급	C
4035	갈아입다	동사		옷을	초급	B
9018	갈아타다	동사		기차를	초급	B
4578	갈증	명사	渴症	이 나다	중급	C
	-감19	접사		책임감	중급	
8293	감01	명사		과일	초급	B
5312	감12	명사	感			C
1240	감각02	명사	感覺	이 없다	중급	C
3343	감기04	명사	感氣	에 걸리다	초급	A
	감기약	명사		을 먹다	초급	
2125	감다01	동사		눈을 ~	초급	B
	감다02	동사		머리를	초급	
4036	감다03	동사		붕대를; 실을 ~	중급	C
	감독	명사		을 강화하다	중급	
671	감독02	명사	監督			C
2432	감동02	명사	感動	을 받다	중급	B
	감동적	관형사		감동적 이야기	중급	
7161	감동적	명사	感動的	감동적 이야기	중급	C
6352	감사08	명사	感謝	감사 인사	초급	A
4966	감사하다05	동사	感謝-			A
3847	감사하다05	형용사	感謝-			A
6530	감상05	명사	鑑賞	음악 감상	중급	B
	감상문	명사		독서 감상문	중급	
4321	감상하다04	동사	鑑賞-			B
5170	감소01	명사	減少	인구 감소	중급	C
9431	감소되다	동사	減少-			C
4485	감소하다	동사	減少-			C
5445	감수성02	명사	感受性			C
	감시02	명사		를 당하다	중급	
3174	감싸다	동사		얼굴을	중급	C
3385	감옥02	명사	監獄	에 가두다	중급	C
3513	감자01	명사		채소	초급	B
846	감정06	명사	感情	이 풍부하다	중급	B
9892	감정적01	명사	感情的			C
2092	감추다	동사		모습을	중급	C
3563	감히	부사	敢-	감히 대들다	중급	C
7979	갑05	명사	匣			C
475	갑자기	부사		갑자기 나타나다	초급	A
4580	갑작스럽다	형용사		갑작스러운 일	중급	C
788	값	명사		을 깎다	초급	A
6946	값싸다	형용사		값싼 물건	중급	C
1812	강01	명사	江	을 건너다	초급	A
3344	강남	명사	江南			C
8651	강당	명사	講堂			B
4669	강도05	명사	强度			C
4967	강도06	명사	强盜	은행 강도	중급	B
1738	강력하다	형용사	强力-			C
4757	강력히	부사	强力-			C
3514	강렬하다02	형용사	强烈-			C
2988	강물	명사	江-	이 흐르다	중급	B
9433	강변01	명사	江邊			C
9894	강북	명사	江北			C
5577	강사04	명사	講師	시간 강사	중급	C
5578	강수량	명사	降水量	이 많다	중급	C
14028	강아지	명사		를 키우다	초급	B
	강요01	명사		부모의 강요	중급	
3564	강요하다	동사	强要-			C
	강원도	고유 명사	江原道			B
3101	강의02	명사	講義	를 듣다	중급	C
	강의실	명사		대형 강의실	중급	
10371	강의하다02	동사	講義-			C
2275	강제01	명사	强制	로 시키다	중급	B
7683	강조02	명사	强調	강조 사항	중급	C
631	강조하다	동사	强調-			B
584	강하다02	형용사	强-	힘이	초급	B
2151	강화하다02	동사	强化-			C
3725	갖가지	명사		갖가지 모양	중급	C
190	갖다01	동사		가지다; 돈을	초급	B
3515	갖다01	보조 용언		가지다		B
784	갖추다	동사		시설을	중급	C
22	같다	형용사		서로 같다	초급	A
203	같이	부사		같이 살다	초급	A
4038	같이하다	동사				C
3386	갚다	동사		돈을	초급	C
1569	개03	명사		동물	초급	A
85	개10	의존명사	個	한 개	초급	A
5313	개개인	명사	個個人			C
4486	개구리	명사		를 잡다	중급	B
2914	개국01	의존명사	個國			C
7440	개나리01	명사		가 피다	중급	B
	개념	명사		을 이해하다	중급	
8296	개다01	동사		날이 ~	중급	C
	개다03	동사		옷을	중급	
3565	개미03	명사		곤충	중급	C
	개발	명사		재능 개발	중급	
2565	개발되다	동사	開發-			C
1269	개발하다	동사	開發-			B
1296	개방04	명사	開放	개방 시간	중급	C
5708	개방되다	동사	開放-			C
3787	개방하다03	동사	開放-			C
4322	개별	명사	個別	개별 행동	중급	C
1562	개선01	명사	改善	제도 개선	중급	C
4758	개선되다01	동사	改善-			C
3137	개선하다01	동사	改善-			C
1788	개성03	명사	個性	이 강하다	중급	C
799	개월	의존명사	個月	삼 개월	초급	A
562	개인02	명사	個人	개인의 자유	중급	B
	개인적	관형사		개인적 감정	중급	
2758	개인적	명사	個人的	개인적 감정	중급	B
	개최	명사		공동 개최	중급	
	개혁	명사		경제 개혁	중급	
	-객02	접사		등산객	중급	
	객관적	관형사		객관적 증거	중급	
2490	객관적	명사	客觀的	객관적 증거	중급	C
1228	걔	줄어든 말		그 아이	중급	B
3102	거01	대명사		것		A
20	거01	의존명사		것	초급	A
293	거기01	대명사		거기에 있다	초급	A
2989	거꾸로	부사		거꾸로 뒤집히다	중급	C
	거대	명사		거대 규모	중급	
1958	거대하다	형용사	巨大-			C
1579	거두다	동사		빨래를	중급	C
5447	거들다01	동사		일을	중급	C
3306	거듭	부사				C
	거래02	명사		가 이루어지다	중급	
	거래처	명사		거래처 직원	중급	
1258	거리01	명사		로 나가다; 길~	초급	A
9901	거리02	의존명사		반찬~		B
1148	거리08	명사	距離	가 가깝다	초급	C
	거미02	명사		곤충	중급	
1864	거부하다	동사	拒否-			C
	거북이	명사		동물	중급	
	거스름돈	명사		을 받다	중급	
2675	거실02	명사	居室	집	초급	B
3967	거액	명사	巨額			C
2109	거울01	명사		을 보다	초급	A
	거의01	명사		거의 없다	초급	
306	거의01	부사		거의 없다	초급	B
	거절01	명사		을 하다	초급	
3726	거절하다01	동사	拒絶-			C
	거지01	명사		가 되다	중급	
4039	거짓	명사		으로 꾸미다	중급	B
2246	거짓말	명사		을 하다	초급	B
819	거치다01	동사		도시를	중급	C
2306	거칠다	형용사		살결이	중급	C
4040	거품	명사		이 나다	중급	C
1129	걱정	명사		이 되다	초급	A
10384	걱정되다	동사				B
5850	걱정스럽다	형용사		자식이	중급	B
2491	걱정하다	동사				A
1707	건04	의존명사	件			C
647	건강03	명사	健康	이 나빠지다	초급	A
1297	건강하다02	형용사	健康-			A
7984	건너01	명사		길 건너	중급	C
4255	건너가다	동사		길을	초급	B
2276	건너다	동사		길을	초급	B
7167	건너오다	동사				B
5448	건너편	명사	-便	으로 가다	초급	B
9030	건넌방	명사	-房			C
	건널목	명사		을 건너가다	중급	
4760	건네다	동사		돈을	중급	C
4112	건네주다	동사		돈을	중급	C
3907	건드리다	동사		물건을	중급	C
649	건물03	명사	建物	을 짓다	초급	A
790	건설	명사	建設	아파트 건설	중급	C
5851	건설되다	동사	建設-			C
2263	건설하다	동사	建設-			C
	건전지	명사		를 갈다	중급	
3388	건전하다	형용사	健全-			C
3849	건조04	명사	乾燥	건조 기후	중급	C
8659	건조하다02	형용사	乾燥-			C
2790	건지다	동사		그물을	중급	B
2616	건축01	명사	建築	건축 공사	중급	B
8660	걷기	명사				C
546	걷다02	동사		길을; 느릿느릿 ~	초급	A
5314	걷다03	동사		소매를 ~	중급	C
7985	걷다04	동사		빨래를 ~	중급	C
716	걸다02	동사		그림을; 옷을 ~	초급	A
	걸레01	명사		로 닦다	중급	
380	걸리다01	동사		그림이; '걸다'의 피동사	초급	B
1970	걸어가다	동사		학교에	초급	A
4041	걸어오다01	동사		집에; 집까지 ~	초급	A
1647	걸음	명사		이 느리다	초급	B
837	걸치다	동사		구름 위에	중급	C
1585	검다02	형용사		색깔이 ~	중급	B
3025	검사02	명사	檢事	판사와 검사	중급	C
1512	검사03	명사	檢査	숙제 검사	초급	B
	검색	명사		인터넷 검색	중급	
3064	검은색	명사	-色	색깔	초급	A
	검정01	명사		색깔	초급	
38923	검정색	명사	-色			B
2850	검토	명사	檢討	서류 검토	중급	C
2644	겁05	명사	怯	을 먹다	중급	B
7987	겁나다02	동사	怯-	말하기가	중급	C
1	것01	의존명사		먹을 것	초급	A
2759	겉01	명사		안과 겉	초급	B
	겉모습	명사		만 보다	중급	
	겉옷	명사		을 벗다	중급	
4761	게01	명사		를 먹다; 동물	중급	C
1415	게다가	부사		게다가 ~까지	중급	B
	게시02	명사		안내문 게시	중급	
7687	게시판	명사	揭示板	에 붙이다	중급	C
13080	게으르다	형용사		사람이	초급	C
877	게임	명사		game; 컴퓨터 게임	초급	A
1648	겨우	부사		겨우 살아나다	중급	B
920	겨울	명사		계절	초급	A
6009	겨울철	명사		을 보내다	중급	B
5711	겨자01	명사				C
	격려	명사		를 보내다	중급	
838	겪다	동사		고통을	중급	C
1341	견디다	동사		고통을	중급	B
	견학	명사		박물관 견학	중급	
1470	견해02	명사	見解	견해 차이	중급	C
211	결과02	명사	結果	가 나오다	초급	B
4487	결과적	명사	結果的			C
352	결국	명사	結局	결국 해내다	중급	B
	결국	부사		결국 해내다	중급	
	결근	명사		출근	중급	
1513	결론02	명사	結論	을 내리다	중급	C
16464	결석01	명사	缺席	을 하다	초급	C
